ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
1,Fresh box,-36,Restaurants,Cash,RON,15/12/2022,No,False
2,Mega Image,-16.01,Restaurants,Cash,RON,14/12/2022,No,False
3,Mega Image,-8.83,Restaurants,Cash,RON,13/12/2022,No,False
4,Bitdefender Total Security 1 an,-74.99,Electronics,Cash,RON,13/12/2022,No,False
5,Fresh box,-24,Restaurants,Cash,RON,12/12/2022,No,False
6,Mega Image,-15.57,Restaurants,Cash,RON,09/12/2022,No,False
7,,-27,Taxi,Cash,RON,09/12/2022,No,False
8,,-32.9,Taxi,Cash,RON,09/12/2022,No,False
9,Mega Image,-23.28,Restaurants,Cash,RON,08/12/2022,No,False
10,Trabuc,-26.9,Other Expense,Cash,RON,08/12/2022,No,False
11,Mega Image,-24.27,Restaurants,Cash,RON,07/12/2022,No,False
12,,9401,Salary,Cash,RON,07/12/2022,No,False
13,Fresh box,-24,Restaurants,Cash,RON,06/12/2022,No,False
14,Fresh box,-30,Restaurants,Cash,RON,05/12/2022,No,False
15,Bonuri masa,380,Salary,Cash,RON,05/12/2022,No,False
16,Carrefour,-171.97,Restaurants,Cash,RON,04/12/2022,No,False
17,,-463.16,Petrol,Cash,RON,04/12/2022,No,False
18,,-5,Charity,Cash,RON,04/12/2022,No,False
19,Spălătorie,-7,Bike,Cash,RON,01/12/2022,No,False
20,Mega Image,-6,Restaurants,Cash,RON,29/11/2022,No,False
21,Fresh box,-22,Restaurants,Cash,RON,28/11/2022,No,False
22,Palton,-350.39,Clothing,Cash,RON,28/11/2022,No,False
23,,-70.68,Water Bill,Cash,RON,27/11/2022,No,False
24,,-52.06,Internet Bill,Cash,RON,27/11/2022,No,False
25,,-39.4,Taxi,Cash,RON,27/11/2022,No,False
26,Bilete Milano,-3651,Travel,Cash,RON,27/11/2022,No,False
27,Ady,-91.27,Other Expense,Cash,RON,26/11/2022,No,False
28,Adriana,-80,Other Expense,Cash,RON,26/11/2022,No,False
29,Bere,-70,Food & Beverage,Cash,RON,24/11/2022,No,False
30,Mega Image,-17.98,Restaurants,Cash,RON,23/11/2022,No,False
31,Deodorant,-16.49,Personal Care,Cash,RON,23/11/2022,No,False
32,Stradale,-28,Restaurants,Cash,RON,22/11/2022,No,False
33,Profi,-40.31,Restaurants,Cash,RON,18/11/2022,No,False
34,Parasinus,-13.49,Pharmacy,Cash,RON,18/11/2022,No,False
35,Assetto Corsa Evoluzione,-17.07,Games,Cash,RON,13/11/2022,No,False
36,Fresh box,-30,Restaurants,Cash,RON,10/11/2022,No,False
37,Mega Image,-25.36,Restaurants,Cash,RON,09/11/2022,No,False
38,Fresh box,-24,Restaurants,Cash,RON,08/11/2022,No,False
39,Bere,-30,Food & Beverage,Cash,RON,07/11/2022,No,False
40,Mega Image,-16.98,Restaurants,Cash,RON,07/11/2022,No,False
41,Rummu,-116,Restaurants,Cash,RON,06/11/2022,No,False
42,,-82.31,Water Bill,Cash,RON,06/11/2022,No,False
43,Pepsi,-3.19,Food & Beverage,Cash,RON,04/11/2022,No,False
44,,9400,Salary,Cash,RON,04/11/2022,No,False
45,,-52.4,Internet Bill,Cash,RON,03/11/2022,No,False
46,Laura,-29.8,Friends & Lover,Cash,RON,03/11/2022,No,False
47,Bonuri masa,300,Salary,Cash,RON,03/11/2022,No,False
48,Urban,-21,Restaurants,Cash,RON,01/11/2022,No,False
49,Mega Image,-8.78,Restaurants,Cash,RON,31/10/2022,No,False
50,Fresh box,-25,Restaurants,Cash,RON,28/10/2022,No,False
51,"Sapun, deodorant",-71.08,Personal Care,Cash,RON,28/10/2022,No,False
52,Taxi Ruxi,-13,Other Expense,Cash,RON,28/10/2022,No,False
53,Profi,-19.37,Restaurants,Cash,RON,27/10/2022,No,False
54,Fresh box,-30,Restaurants,Cash,RON,26/10/2022,No,False
55,Mega Image,-32.74,Restaurants,Cash,RON,25/10/2022,No,False
56,Mega Image,-7.44,Restaurants,Cash,RON,24/10/2022,No,False
57,Mirciulica,-53,Movies,Cash,RON,22/10/2022,No,False
58,Adriana,-432,Other Expense,Cash,RON,22/10/2022,No,False
59,Mega Image,-23.8,Restaurants,Cash,RON,21/10/2022,No,False
60,Mega Image,-9.84,Restaurants,Cash,RON,20/10/2022,No,False
61,Porumb,-10,Restaurants,Cash,RON,19/10/2022,No,False
62,Shanghai,-35.5,Restaurants,Cash,RON,19/10/2022,No,False
63,Cutii,-30,Home Improvement,Cash,RON,19/10/2022,No,False
64,Fresh box,-30,Restaurants,Cash,RON,18/10/2022,No,False
65,Mega Image,-15.38,Restaurants,Cash,RON,17/10/2022,No,False
66,Fresh box,-22,Restaurants,Cash,RON,17/10/2022,No,False
67,Karting,-400,Entertainment,Cash,RON,16/10/2022,No,False
68,Rareș - pt gheata carbonica,-250,Other Expense,Cash,RON,13/10/2022,No,False
69,Mega Image,-62.19,Restaurants,Cash,RON,12/10/2022,No,False
70,Mariflor,-62.76,Restaurants,Cash,RON,12/10/2022,No,False
71,,-332.05,Petrol,Cash,RON,12/10/2022,No,False
72,NFS Heat,-17.39,Games,Cash,RON,11/10/2022,No,False
73,Sabina,-158.35,Other Expense,Cash,RON,11/10/2022,No,False
74,Laura,-2000,Other Expense,Cash,RON,11/10/2022,No,False
75,Bogdan,1500,Gifts,Cash,RON,11/10/2022,No,False
76,Laura,-4000,Other Expense,Cash,RON,10/10/2022,No,False
